CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE145602,12/22/2020 08:59:00 PM,004XX W 58TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,711,20,11,,,,,
JE173033,02/01/2021 09:30:00 PM,001XX E DELAWARE PL,0890,THEFT,FROM BUILDING,RESIDENCE,N,N,1833,2,06,,,,,
JD220983,04/28/2020 04:00:00 PM,034XX W 53RD PL,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,822,14,05,1154351,1868931,41.796167139,-87.70951943,"(41.796167139, -87.70951943)"
JE145783,04/01/2020 12:00:00 PM,027XX S ARCHER AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,913,11,06,,,,,
JD390623,09/30/2020 12:00:00 PM,018XX N Sedgwick St,0810,THEFT,OVER $500,RESIDENCE,N,N,1814,43,06,1173303,1912547,41.915454333,-87.638727274,"(41.915454333, -87.638727274)"
JD381795,09/13/2020 12:00:00 PM,015XX N KINGSBURY ST,0810,THEFT,OVER $500,GROCERY FOOD STORE,Y,N,1822,27,06,1169505,1910252,41.909240284,-87.65274758,"(41.909240284, -87.65274758)"
JD219381,04/28/2020 07:15:00 PM,085XX S GIVINS CT,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE - YARD (FRONT / BACK),N,N,622,21,26,1172711,1848282,41.739118468,-87.642799939,"(41.739118468, -87.642799939)"
JD219470,04/28/2020 08:22:00 PM,083XX S PAULINA ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,614,21,14,1166464,1849327,41.742121373,-87.665658127,"(41.742121373, -87.665658127)"
JD219347,04/28/2020 01:00:00 PM,030XX N HAMLIN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2523,30,08B,1150702,1919859,41.93599137,-87.721569838,"(41.93599137, -87.721569838)"
JD218794,04/28/2020 06:00:00 AM,096XX S CALHOUN AVE,0560,ASSAULT,SIMPLE,RESIDENCE,N,Y,431,10,08A,1194737,1841428,41.719797162,-87.562326845,"(41.719797162, -87.562326845)"
